iter	Passed	Remaining
0	1	109
1	1	97
2	2	92
3	3	88
4	4	86
5	5	83
6	6	82
7	7	80
8	7	80
9	8	79
10	9	78
11	10	77
12	11	76
13	12	76
14	13	75
15	14	73
16	14	72
17	15	71
18	16	70
19	17	69
20	18	68
21	19	67
22	19	66
23	20	65
24	21	64
25	22	63
26	23	62
27	24	61
28	24	60
29	25	59
30	26	59
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	50
41	35	49
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	41	43
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	37
55	47	37
56	47	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	58	26
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	15
82	69	14
83	70	13
84	70	12
85	71	11
86	72	10
87	73	10
88	74	9
89	75	8
90	75	7
91	76	6
92	77	5
93	78	4
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
